Pays,Club,Championnat,Etoiles
Germany,VfL Osnabruck,3. Liga,2.00 
Germany,FC Erzgebirge Aue,3. Liga,1.50 
Germany,SV Waldhof,3. Liga,2.00 
Germany,Hannover 96 II,3. Liga,1.00 
Germany,Sarrebruck,3. Liga,2.00 
Germany,Viktoria KOln,3. Liga,1.50 
England,Arsenal,Premier League,5.00 
England,Aston Villa,Premier League,4.50 
England,Chelsea,Premier League,4.50 
England,Everton,Premier League,4.00 
England,Fulham,Premier League,4.00 
England,Liverpool,Premier League,5.00 
England,Manchester City,Premier League,5.00 
England,Man Utd,Premier League,4.50 
England,Newcastle Utd,Premier League,4.50 
England,Spurs,Premier League,4.50 
England,West Ham Utd,Premier League,4.50 
England,Crystal Palace,Premier League,4.00 
England,Ipswich Town,Premier League,3.50 
England,Leicester City,Premier League,4.00 
England,Southampton,Premier League,3.50 
England,Wolves,Premier League,4.00 
England,AFC Bournemouth,Premier League,4.00 
England,Brighton,Premier League,4.00 
England,Notting. Forest,Premier League,4.00 
England,Brentford,Premier League,4.00 
England,Blackburn Rovers,EFL championship,3.00 
England,Derby County,EFL championship,2.50 
England,Middlesbrough,EFL championship,3.50 
England,Portsmouth,EFL championship,2.50 
England,Sunderland,EFL championship,3.00 
England,Bristol City,EFL championship,3.00 
England,Burnley,EFL championship,3.50 
England,Cardiff City,EFL championship,3.50 
England,Coventry City,EFL championship,3.50 
England,Hull City,EFL championship,3.00 
England,Norwich City,EFL championship,3.50 
England,Plymouth Argyle,EFL championship,3.00 
England,Preston,EFL championship,3.00 
England,QPR,EFL championship,3.00 
England,Sheffield Wed,EFL championship,2.50 
England,Stoke City,EFL championship,3.00 
England,Watford,EFL championship,3.00 
England,West Bromwich,EFL championship,3.50 
England,Leeds Utd,EFL championship,3.50 
England,Luton Town,EFL championship,3.50 
England,Millwall,EFL championship,3.00 
England,Swansea City,EFL championship,3.00 
England,Oxford Utd,EFL championship,2.50 
England,Sheffield Utd,EFL championship,3.50 
England,Barnsley,EFL League One,2.00 
England,Birmingham City,EFL League One,3.00 
England,Blackpool,EFL League One,2.00 
England,Bolton,EFL League One,2.00 
England,Bristol Rovers,EFL League One,1.50 
England,Burton Albion,EFL League One,1.50 
England,Cambridge Utd,EFL League One,1.50 
England,Charlton Athl.,EFL League One,2.00 
England,Crawley Town,EFL League One,1.00 
England,Exeter City,EFL League One,1.50 
England,Huddersfield,EFL League One,2.50 
England,Leyton Orient,EFL League One,1.50 
England,Lincoln City,EFL League One,1.50 
England,Mansfield Town,EFL League One,1.50 
England,Northampton Town,EFL League One,1.50 
England,Peterborough Utd,EFL League One,1.50 
England,Reading,EFL League One,2.00 
England,Roterham Utd,EFL League One,2.50 
England,Shrewsbury Town,EFL League One,1.00 
England,Stevenage,EFL League One,2.00 
England,Stockport,EFL League One,2.00 
England,Wigan Athletic,EFL League One,1.50 
England,Wrexham,EFL League One,2.00 
England,Wycombe,EFL League One,1.50 
England,Colchester Utd,EFL League Two,1.00 
England,Carlisle Utd,EFL League Two,1.00 
England,Cheltenham Town,EFL League Two,0.50 
England,Crewe Alexandra,EFL League Two,1.00 
England,Doncaster Rovers,EFL League Two,1.00 
England,Gillingham,EFL League Two,1.00 
England,Port Vale,EFL League Two,1.50 
England,Swindon City,EFL League Two,1.00 
England,Tranmere Rovers,EFL League Two,1.00 
England,Walsall,EFL League Two,1.00 
England,Accrington,EFL League Two,0.50 
England,Bradford City,EFL League Two,1.50 
