Pays,Club,Championnat,Etoiles
Turkiye,Antalyaspor,Trendyol Super Lig,2.50 
Turkiye,Basaksehir,Trendyol Super Lig,3.50 
Turkiye,Besiktas,Trendyol Super Lig,4.00 
Turkiye,Bodrum FK,Trendyol Super Lig,1.00 
Turkiye,Eyupspor,Trendyol Super Lig,3.00 
Turkiye,Fenerbahce,Trendyol Super Lig,4.50 
Turkiye,Galatasaray,Trendyol Super Lig,4.50 
Turkiye,Gaziantep,Trendyol Super Lig,2.50 
Turkiye,GOztepe,Trendyol Super Lig,2.50 
Turkiye,Hatayspor,Trendyol Super Lig,2.50 
Turkiye,Kasimpasa,Trendyol Super Lig,2.50 
Turkiye,Kayserispor,Trendyol Super Lig,2.50 
Turkiye,Konyaspor,Trendyol Super Lig,2.50 
Turkiye,Cayhur Rizespor,Trendyol Super Lig,2.50 
Turkiye,Samsunspor,Trendyol Super Lig,3.00 
Turkiye,Sivasspor,Trendyol Super Lig,2.00 
Turkiye,Trabzonspor,Trendyol Super Lig,4.00 
Rest of World,AEK Athenes,RDM hommes,4.00 
Rest of World,Olympiacos FC,RDM hommes,3.50 
Rest of World,Al Ain FC,RDM hommes,3.00 
Rest of World,APOEL FC,RDM hommes,3.00 
Rest of World,Atl. Nacional,RDM hommes,3.00 
Rest of World,Dinamo Zagreb,RDM hommes,3.50 
Rest of World,Dynamo Kiev,RDM hommes,3.50 
Rest of World,Ferencvarosi TC,RDM hommes,3.50 
Rest of World,Hajduk Split,RDM hommes,3.50 
Rest of World,HJK Helsinski,RDM hommes,1.50 
Rest of World,Panathinaikos,RDM hommes,3.50 
Rest of World,PAOK FC,RDM hommes,3.50 
Rest of World,Chaktar Donetsk,RDM hommes,3.50 
Rest of World,Slavia Prague,RDM hommes,3.50 
Rest of World,Qarabag FK,RDM hommes,3.00 
Rest of World,Sparta Prague,RDM hommes,3.50 
Rest of World,Viktoria Plzen,RDM hommes,3.50 
Rest of World,MLS All-Star,RDM hommes,4.00 
Rest of World,Soccer Aid,RDM hommes,5.00 
International Men,Germany,Selection hommes,5.00 
International Men,England,Selection hommes,5.00 
International Men,Argentina,Selection hommes,5.00 
International Men,Croatie,Selection hommes,4.50 
International Men,Denmark,Selection hommes,4.00 
International Men,Scotland,Selection hommes,4.00 
International Men,Spain,Selection hommes,5.00 
International Men,United States,Selection hommes,4.00 
International Men,Finlande,Selection hommes,3.50 
International Men,France,Selection hommes,5.00 
International Men,Ghana,Selection hommes,4.00 
International Men,Hongrie,Selection hommes,4.00 
International Men,Islande,Selection hommes,3.50 
International Men,Irlande,Selection hommes,3.50 
International Men,Irlande du Nord,Selection hommes,3.00 
International Men,Italy,Selection hommes,5.00 
International Men,Maroc,Selection hommes,4.00 
International Men,Mexique,Selection hommes,4.00 
International Men,Nouv.-Zelande,Selection hommes,2.50 
International Men,Norway,Selection hommes,4.00 
International Men,Netherlands,Selection hommes,4.50 
International Men,Pays de Galles,Selection hommes,3.50 
International Men,Poland,Selection hommes,4.00 
International Men,Portugal,Selection hommes,5.00 
International Men,Qatar,Selection hommes,2.50 
International Men,Romania,Selection hommes,3.50 
International Men,Tchequie,Selection hommes,4.00 
International Men,Sweden,Selection hommes,4.00 
International Men,Ukraine,Selection hommes,4.00 
